         1311378 function calls (1282198 primitive calls) in 2.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   167/39    0.001    0.000    0.016    0.000 parser.py:162(many)
      227    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        5    0.016    0.003    0.016    0.003 _builtins.py:135(register_all)
   153/23    0.000    0.000    0.016    0.001 frontend.py:136(build_stmts)
   153/23    0.000    0.000    0.016    0.001 frontend.py:137(<listcomp>)
        1    0.000    0.000    0.016    0.016 crop2d.py:1(<module>)
        1    0.000    0.000    0.016    0.016 ssl_.py:1(<module>)
        1    0.000    0.000    0.016    0.016 metadata.py:554(entry_points)
       75    0.000    0.000    0.016    0.000 __init__.py:3268(<genexpr>)
       75    0.000    0.000    0.016    0.000 metadata.py:559(<genexpr>)
       74    0.000    0.000    0.016    0.000 __init__.py:2774(activate)
       35    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       63    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
        4    0.000    0.000    0.015    0.004 six.py:205(is_package)
        1    0.000    0.000    0.015    0.015 six.py:115(__getattr__)
        1    0.000    0.000    0.015    0.015 essential.py:1(<module>)
      148    0.000    0.000    0.015    0.000 __init__.py:2021(_by_version)
      582    0.001    0.000    0.015    0.000 typing.py:424(Union)
        1    0.000    0.000    0.015    0.015 validation.py:1(<module>)
        1    0.000    0.000    0.015    0.015 url.py:1(<module>)
      148    0.000    0.000    0.015    0.000 __init__.py:2027(<listcomp>)
        1    0.000    0.000    0.014    0.014 handler.py:3(<module>)
     1066    0.003    0.000    0.014    0.000 typing.py:722(__init__)
      731    0.001    0.000    0.014    0.000 version.py:48(parse)
     1896    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.014    0.014 config.py:6(<module>)
        1    0.000    0.000    0.014    0.014 patch.py:1(<module>)
     1803    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.013    0.013 pruning.py:14(<module>)
        1    0.000    0.000    0.013    0.013 pyparsing.py:26(<module>)
        1    0.000    0.000    0.013    0.013 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.013    0.013 quantize.py:1(<module>)
     1012    0.010    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.013    0.013 base_events.py:1(<module>)
   113/25    0.000    0.000    0.013    0.001 parser.py:293(parse_selection_set)
        1    0.000    0.000    0.013    0.013 universaldetector.py:28(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:19(_init_externals)
       15    0.000    0.000    0.013    0.001 parser.py:219(parse_operation_definition)
        1    0.000    0.000    0.013    0.013 utils.py:14(<module>)
       74    0.000    0.000    0.013    0.000 metadata.py:259(entry_points)
      443    0.000    0.000    0.012    0.000 genericpath.py:39(isdir)
     1342    0.001    0.000    0.012    0.000 parser.py:80(advance)
        1    0.003    0.003    0.012    0.012 {built-in method torch._C._initExtension}
     1665    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
       57    0.000    0.000    0.012    0.000 __init__.py:2185(_handle_ns)
     4818    0.002    0.000    0.012    0.000 tokenize.py:98(_compile)
        2    0.000    0.000    0.012    0.006 util.py:6(<module>)
        1    0.000    0.000    0.012    0.012 quantization_mappings.py:1(<module>)
     1357    0.000    0.000    0.012    0.000 lexer.py:42(next_token)
  295/120    0.000    0.000    0.012    0.000 parser.py:301(parse_selection)
  285/120    0.001    0.000    0.012    0.000 parser.py:308(parse_field)
        1    0.000    0.000    0.012    0.012 loader.py:2(<module>)
     1357    0.002    0.000    0.012    0.000 lexer.py:142(read_token)
        2    0.000    0.000    0.012    0.006 __init__.py:5(<module>)
        1    0.000    0.000    0.012    0.012 commit.py:7(<module>)
        1    0.000    0.000    0.011    0.011 app.py:16(<module>)
        2    0.000    0.000    0.011    0.006 data_types.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _internal_utils.py:3(<module>)
        1    0.000    0.000    0.011    0.011 event_pb2.py:5(<module>)
     1078    0.001    0.000    0.011    0.000 __init__.py:2067(dist_factory)
        1    0.000    0.000    0.011    0.011 compat.py:3(<module>)
    23713    0.005    0.000    0.011    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.011    0.011 flags.py:16(<module>)
      584    0.000    0.000    0.011    0.000 version.py:107(__init__)
     3308    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        3    0.000    0.000    0.011    0.004 types.py:1(<module>)
        2    0.000    0.000    0.011    0.005 batchnorm.py:1(<module>)
      584    0.003    0.000    0.011    0.000 version.py:205(_legacy_cmpkey)
        1    0.000    0.000    0.010    0.010 dist.py:2(<module>)
        1    0.000    0.000    0.010    0.010 imgwarp.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _functions.py:1(<module>)
     1077    0.000    0.000    0.010    0.000 parser.py:103(expect)
       26    0.000    0.000    0.010    0.000 pyparsing.py:2779(__init__)
     8074    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x00007FF966E55C60}
      164    0.001    0.000    0.010    0.000 __init__.py:2052(<genexpr>)
        1    0.000    0.000    0.010    0.010 meta_graph_pb2.py:5(<module>)
     1665    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      297    0.000    0.000    0.010    0.000 typing.py:462(Optional)
        1    0.000    0.000    0.010    0.010 reflection.py:33(<module>)
     3278    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.010    0.010 summary_pb2.py:5(<module>)
    64/44    0.000    0.000    0.010    0.000 frontend.py:640(build_If)
        1    0.000    0.000    0.010    0.010 pinhole.py:1(<module>)
    58379    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
       74    0.000    0.000    0.009    0.000 __init__.py:2288(fixup_namespace_packages)
    13699    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
      229    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      229    0.001    0.000    0.009    0.000 <frozen zipimport>:63(__init__)
       23    0.000    0.000    0.009    0.000 util.py:73(find_spec)
        1    0.000    0.000    0.009    0.009 message_factory.py:31(<module>)
    59661    0.009    0.000    0.009    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.009    0.009 diff.py:6(<module>)
        2    0.000    0.000    0.009    0.004 imports.py:14(<module>)
101439/98480    0.008    0.000    0.009    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.009    0.004 specifiers.py:4(<module>)
26905/26821    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.008    0.008 pyramid.py:1(<module>)
        1    0.000    0.000    0.008    0.008 parser.py:5(<module>)
        2    0.000    0.000    0.008    0.004 linalg.py:1(<module>)
       74    0.000    0.000    0.008    0.000 metadata.py:104(_from_text)
        2    0.000    0.000    0.008    0.004 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 tensor_pb2.py:5(<module>)
86563/86537    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
       15    0.000    0.000    0.008    0.001 imports.py:26(_module_available)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
     7000    0.004    0.000    0.008    0.000 typing.py:696(__setattr__)
        1    0.000    0.000    0.008    0.008 feedparser.py:5(<module>)
      274    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
    12796    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.008    0.008 multiarray.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:7(<module>)
        1    0.000    0.000    0.008    0.008 tb_watcher.py:2(<module>)
  232/186    0.001    0.000    0.008    0.000 frontend.py:741(build_Call)
        3    0.000    0.000    0.007    0.002 subprocess.py:756(__init__)
        1    0.000    0.000    0.007    0.007 python_message.py:36(<module>)
        3    0.000    0.000    0.007    0.002 subprocess.py:1334(_execute_child)
        1    0.000    0.000    0.007    0.007 dir_watcher.py:1(<module>)
     2348    0.003    0.000    0.007    0.000 typing.py:130(_type_check)
        2    0.000    0.000    0.007    0.003 util.py:169(vendor_import)
      230    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
    28125    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
       11    0.000    0.000    0.007    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 run.py:3(<module>)
        3    0.007    0.002    0.007    0.002 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.007    0.007 apply_func.py:14(<module>)
     4231    0.003    0.000    0.007    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.007    0.003 _compat.py:1(<module>)
        6    0.000    0.000    0.007    0.001 platform.py:913(system)
        1    0.000    0.000    0.007    0.007 __init__.py:141(_load_global_deps)
        6    0.000    0.000    0.007    0.001 platform.py:824(uname)
        1    0.000    0.000    0.007    0.007 ddp.py:14(<module>)
        1    0.000    0.000    0.007    0.007 platform.py:359(win32_ver)
        1    0.000    0.000    0.006    0.006 compression.py:1(<module>)
      117    0.000    0.000    0.006    0.000 frontend.py:568(build_Assign)
     1505    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 wandb_login.py:3(<module>)
        2    0.000    0.000    0.006    0.003 overrides.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.006    0.006 platform.py:261(_syscmd_ver)
        1    0.000    0.000    0.006    0.006 _defines.py:14(<module>)
       84    0.002    0.000    0.006    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.006    0.006 subprocess.py:377(check_output)
        1    0.000    0.000    0.006    0.006 subprocess.py:464(run)
      295    0.001    0.000    0.006    0.000 typing.py:815(__getitem__)
        1    0.000    0.000    0.006    0.006 _policybase.py:1(<module>)
       56    0.002    0.000    0.006    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.006    0.006 graph_pb2.py:5(<module>)
     1506    0.002    0.000    0.006    0.000 ntpath.py:77(join)
      106    0.000    0.000    0.006    0.000 descriptor.py:158(GetOptions)
     1892    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        1    0.000    0.000    0.006    0.006 wandb_run.py:4(<module>)
    69461    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      606    0.001    0.000    0.006    0.000 parser.py:175(parse_name)
